Агроном,1,8 лет 1 месяц,"Проверка качества сбора огурца,
Работа с первоначальной документацией,"
Мастер-стажер,117,4 месяца,"Ознакомление с производством и технологическим процессом, помощь мастерам в управлении участками, выполнение поручений руководства, работа с персоналом."
Индивидуальный предприниматель ,118,4 года 4 месяца,"Продажа зерновых культур;
Строительство инженерных сетей и коммуникаций."
Региональный менеджер по продажам сельско-хозяйственной техники,118,7 месяцев,"- Поиск потенциальных клиентов, холодные звонки;

- Составление/рассылка коммерческих предложений, презентаций, брошюр;

- Разработка и проведение презентаций продукции;

- Проведение переговоров с клиентами-компаниями с последующим заключением договоров о поставках;

- Поддержание наработанной клиентской базы;

- Ведение первичной отчетности, контроль документооборота."
Специалист по заказ-нарядам; Мастер-приёмщик,118,3 года 5 месяцев,"- Оформление акта приемки-передачи транспортного средства, узла или агрегата;

- Размещение объекта заказа наряда (далее ОЗН) в зоне ожидания ремонта, передача ОЗН на склад либо ответственному исполнителю;

- Получение предварительного заказ-наряда от начальника цеха с указанием стоимости, сроков исполнения ремонта;

- Согласование с заказчиком стоимости, сроков и условий проведения ремонтных работ;

- Отслеживание исполнения заказ-наряда;

- По окончанию ремонтных работ информирование об этом заказчика;

- Открытие/Закрытие заказ-наряда в 1С ERP;

- Ведение установленной формы отчетности, представление в установленном порядке информации о своей деятельности."
Ветеринарный врач,119,3 года 11 месяцев,"Прием больных животных, ведение  электронных карт с назначением лечения Вакцинации,  чипирование  ,мелкая хирургия, забор материала  для лабораторных исследований ,читка результатов анализов
 работа в  отделении интенсивной терапии. Оказание ветеринарной помощи пациенту с выездом на дом.  "
Стажёр хирургического отделения .,119,2 месяца,"Ведение злектронных карточек пациентов. . Выполнение назначений ветеринарного врача. 
 (инъекции  п / к , в/м, в/в),постановка  катетеров, перевязки, обработка ран, швов, подготовка к операциям, помощь врачу при  операциях , забор материала  для лабораторных исследований.
 Обеззараживание инструментов и помещения."
Ассистент ветеринарного врача,119,3 года 8 месяцев,"В обязанности входило- помощь на  приеме животных, проведение всех  видов  иньекций ,постановка капельниц и катетеров.  Забор проб  для лаборного анализа.  Проведение процедур ,назначенных врачом , помощь при операциях  стерилизация инструментов,  а также проводить дезинфекцию помещений,работа в стационаре, уход за животными ,в зоогостинице."
главный  ветеринарный врач колхоза.,119,30 лет 8 месяцев,"В мои обязанности входило- обеспечить надлежащую организацию работы ветеринарной службы, разрабатывать планы профилактических и оздоровительных противоэпизоотических и лечебно-профилактических мероприятий, осуществлять  ветеринарно-санитарный контроль за живот­ными, помещениями животноводческих ферм , зверофермы птицефермы. Мои достижения заключались в том ,что во время моей работы на должности ветеринарного врача колхоза не было допущения вспышек инфекционных заболеваний животных а так же снизился падёж скота в вверенном мне хозяйстве."
"заведующий отделением(фермой), Главный ветеринарный врач",120,9 месяцев,"Контроль выполнения схем кормления, вакцинации. Разработка схем лечения, улучшения производственных показателей, условий содержания и кормления."
Заведующий противоэпизоотологическим отделом,120,1 год,"Составление и выполнение планов противоэпизоотической работы. Лечение животных (коровы, свиньи, коты, собаки)"
Агроном,121,8 месяцев,"Полная организация производства сельскохозяйственной продукции (зерновые, масличные культуры, работа с удобрениями)"
Агроном,121,6 месяцев,Организация производства сельскохозяйственной продукции.
Заведующий гаражом и заведующий машинно-тракторной мастерской,121,1 год 3 месяца,Обеспечение безаварийной работы автопарка и сельскохозяйственной техники. Организация мероприятий по ремонту техники.
Агроном,121,5 месяцев,Организация производства сельскохозяйственной продукции.
Начальник участка №1,121,6 лет 10 месяцев,"Осуществлял руководство производственно-хозяйственной деятельностью участка.

Обеспечивал своевременность выполнения сельхоз работ согласно установленных графиков.

Обеспечивал технически правильную эксплуатацию оборудования и других основных средств, выполнение графиков их ремонта

Организовывал работу специалистов на вверенном участке"
Инженер по эксплуатации тракторного парка и с/х оборудования,121,4 года 5 месяцев,Организация и планирование мероприятий по обслуживанию и ремонту тракторного парка и сельскохозяйственной техники.
Агроном,121,5 лет 6 месяцев,Организация технологического процесса по выращиванию сельскохозяйственных культур и заготовки кормов.
Бригадир,121,5 лет 9 месяцев,Полная организация сельскохозяйственного производства.
Бригадир комплексной бригады,121,5 лет 11 месяцев,Полная организация сельскохозяйственного производства.
Механик бригады,121,9 месяцев,Содержание и обслуживание тракторного парка.
Слесарь по ремонту технологического оборудования 5 разряда,122,3 года 8 месяцев,"Ремонт и техническое обслуживание газоперекачивающего оборудования компрессорной станции ""Елизаветинская"" газопровода ""Северный поток"""
"Автоэлектрик-диагност, автомеханик",122,2 года 4 месяца,"- Диагностика и ремонт электронных систем управления двигателем и трансмиссией
- Адаптация, программирование электронных блоков  
- Работа с тех.документацией.
- Ремонт электропроводки.
- Установка доп. оборудования.
- Слесарный ремонт узлов и агрегатов
- Капитальный ремонт ДВС
"
Электромонтажник,122,2 года,"Монтаж электрооборудования и слаботочных систем (видеонаблюдение, системы контроля доступа, домофоны).  Прокладка кабелей внутри помещений, монтаж лотков, установка и расключение силовых щитов, установка электроприборов, ремонт и установка бытовой техники."
Сервисный инженер,122,6 месяцев,"Монтаж, ремонт и техническое обслуживание автоматического оборудования для молочного животноводства,  доильных залов и компьютерных систем управления стадом. Ремонт насосов и компрессоров,  установка и настройка частотных преобразователей и прочего оборудования."
Сервисный инженер,122,4 года 1 месяц,"	Пуско-наладка всего спектра оборудования концерна Brokk, Kraft telerobotics  на объектах Заказчиков;

	Проведение предпродажной подготовки оборудования;

	Осуществление технической поддержки менеджеров отдела продаж и запасных частей;

	Гарантийное и постгарантийное сервисное обслуживание техники и навесного оборудования;

	Диагностика, ремонт оборудования на объектах Заказчиков (вся территория России и СНГ);

	Непосредственное участие в работах по ремонту техники. Ремонт механики, гидравлики, электрики, систем управления;

	Проведение инструктажа по эксплуатации и ремонту оборудования для персонала заказчиков;

	Подготовка и перевод технической документации,  инструкций по эксплуатации и ремонту

	Связь с заводами-изготовителями оборудования по техническим вопросам;"
Сервисный инженер,122,2 года 4 месяца,"	Организация обслуживания, ремонта и бесперебойной работы техники компании на объектах в СПб и ЛО

	Развитие ремонтной базы компании, отбор технического персонала

	Организация снабжения запасными частями и расходными материалами"
Менеджер по продажам,122,2 года 1 месяц,"	Продажа полуприцепов-тяжеловозов (тралы), переговоры с клиентами компании, согласование договоров, отгрузка техники со склада.

	Работа с заводами-изготовителями полуприцепов-тралов, планирование, формирование и отслеживание заказов

	Поиск и работа с поставщиками техники (Европа, США)."
Автомеханик,122,2 года 4 месяца,"Диагностика, ремонт, техническое обслуживание легковых автомобилей:

- ремонт подвески

- ремонт стартеров, генераторов

- ремонт ДВС

- замена ремней и цепей ГРМ

- сварочные работы (полуавтомат)"
Инженер-технолог,123,1 год 7 месяцев,Разработка конструкторской документации для производства. Программирование ЧПУ плазменной резки.
Диспетчер склада,123,3 месяца,"-организация работы склада
- подготовка этикеток
- организация и контроль постановки автотранспорта под 
  загрузку, согласно отгрузочным местам;
- контроль процесса загрузки автотранспорта;
- прием первичной документации у водителей/ 
  экспедиторов, проверка правильности оформления."
Инженер-программист,123,5 месяцев,"Организация и обеспечение бесперебойного функционирования сети.
Консультация и обучение пользователей работе в сети, с компьютерами.
Обеспечение сохранности и конфиденциальности информации."
Ведущий инженер-конструктор,123,1 год 2 месяца,"Проектировка и разработка новых продуктов, составление технической документации (конструкторские документы, технологические документы, программные документы, инструкции пользователя).
Программирование 3х осных фрезерно-гравировальных станков."
Главный инженер,123,4 месяца,"Оперативное управление технической эксплуатацией офисов. Бесперебойное снабжение офисов энергоресурсами (электроэнергия, водоснабжение, эксплуатация тепловых сетей), выполнение работ по профилактике и ремонту оборудования, составление и соблюдение графиков и режимов работы оборудования и сетей, работа с арендаторами и собственниками помещений (офисов), составление графиков ППР, отчётов, соблюдение правил безопасной эксплуатации оборудования, сотрудничество с РОСТЕХНАДЗОРОМ, работа с подрядными и энергоснабжающими организациями и оформление отчётов по всем видам энергоресурсов, заключение договоров на обслуживание, ремонт и наладку оборудования, организация ремонта оборудования своими силами."
Инженер-программист,123,3 года 2 месяца,"Организация и обеспечение бесперебойного функционирования сети.

Консультация и обучение пользователей работе в сети, с компьютерами.

Обеспечение сохранности и конфиденциальности информации.

Программирование 3х-осного фрезерно-гравировального ЧПУ."
Сервисный инженер,123,1 год 1 месяц,"Выезд к клиенту, диагностика, ремонт, настройка  компьютеров, ноутбуков, телефонов, подключение и настройка интернета, продажа лицензионного программного обеспечения."
Менеджер оптового отдела продаж,123,2 месяца,"""Холодные"" звонки, обеспечение выполнения месячного плана, контроль дебиторской задолженности"
Системный администратор/программист,123,5 месяцев,"Организация и обеспечение бесперебойного функционирования сети.

Консультация и обучение пользователей работе в сети, с компьютерами.

Обеспечение сохранности и конфиденциальности информации."
Машинист агрегата для создания навивочных рукавов,123,5 месяцев,Программирование и наладка станков
Оператор станков с программным управлением,123,4 месяца,Программирование и наладка 5-осного станка DMG с программным управлением.
Системный администратор/программист,123,4 месяца,"Организация и обеспечение бесперебойного функционирования сети.

Консультация и обучение пользователей работе в сети, с компьютерами.

Обеспечение сохранности и конфиденциальности информации."
Торговый представитель,123,6 месяцев,"работа с дибиторской

контроль остатков

формирование заявок"
продавец 4-го разряда,123,1 год 2 месяца,"Оформление гарантии, распаковка/упаковка товара, краткие сведенья о товаре для покупателя, оформление доставки."
Продавец-консультант,124,3 года 9 месяцев,"Консультация посетителей и продажа, а также кросс продажа строительных, и сопутствующих им материалов."
Оператор погрузочных работ,124,3 месяца,"Прием и отверка приходящих товаров, а также размещение их по торговому комплексу."
Разнорабочий,124,2 месяца,Ремонт техники в хозяйстве.
Разнорабочий,124,2 месяца,"Учёт машин производящих закладку бурта, мелкий местный ремонт."
Разнорабочий,124,2 месяца,"Погрузка и разгрузка зернового вороха, а также мелкий местный ремонт и уборка территории."
Разнорабочий,124,2 месяца,"Разгрузка и погрузка азотных удобрений, а также в борка территории и местный мелкий ремонт"
"Кастелянша , кладовщик",125,12 лет 4 месяца,"В должности кастелянши слежу за мягким инвентарем: стираю, ремонтирую, обновляю, считаю. Шью костюмы для утренников, также ухаживаю за костюмами. В качестве кладовщика (вместе со старшей медсестрой)  произвожу расчет потребности продуктов питания на перспективу (квартал, полугодие, год ); ежедневно заказываю необходимые продукты , принимаю их, выдаю на кухню согласно меню. Веду первичный учет поступления и списания продуктов,  ежемесячно проводятся сверки с бухгалтерией."
"Лаборант по уходу за подопытными животными,  затем - лаборант гистологического отдела",125,7 лет 8 месяцев,"Вначале ухаживала за подопытными животными :кролики, морские свинки, белые мыши и овца. Они у меня так размножились, что морских свинок пришлось сдавать в зоомагазины. В отделе гистологии в мои обязанности входило изготовление гистопрепаратов, присутствовать на вскрытии для взятия материалов( кусочки тканей животных), консервация этих материалов и изготовление гистопрепаратов для установления ветврачем диагноза. Так же в сезон (весна , осень ) я готовила препараты для исследования мальков карпа , собирала в прилежащих к г.Великие Луки хозяйствах образцы сельхозпродукции для радиологических исследований."
Экономист,125,6 месяцев,"Расчет нормативов выработки для расчета заработной платы для сезонных работ: пастухи, механизаторы - косари, рабочие на заготовке кормов и т.д."
Заведующий фермами,125,1 год 6 месяцев,"Организация приема телят от населения, организация кормления и ухода за животными - телятами с возраста отъема до перевода  бычков на откорм , телок до случного возраста. Выявление больных животных, помощь ветслужбе в проводимых мероприятиях. Организация доставки кормов, расчет потребности в кормах. Ежемесячный контроль за привесами телят, расчет заработной платы телятницам по результатам контрольных взвешиваний."
оператор упаковочной машины,126,5 месяцев,"освоил работу на упаковочных машинах трех видов, упаковка готовых  изделий, стажировался на оператора -кладовщика работал в цехе готовой продукции по выявлению брака."
технолог предприятия общественного питания,126,1 год 10 месяцев,"ежедневный бракераж продукции, контроль качества выпускаемой продукции, разработка технологических карт, контроль за соблюдением выполнения программы производственного контроля."
Ведущий специалист отдела главного механика ,127,3 года 10 месяцев,"Контроль за правильной эксплуатацией, профилактический технический осмотр и ремонт автомобилей и иной транспортной техники.

Обеспечение безаварийной и надежной работы на линиях, контроль исправного состояния подвижного состава, выпуск его на маршрут в соответствии с установленным графиком."
Стажер,127,2 месяца,Отработка начальных данных и ведение службы
Главный инженер,127,4 месяца,"Сервисное обслуживание техники, провереа техники наисправность перед выездом. "
Инженер-механик,127,5 месяцев,подготовка транспорта к работе в условиях уборочной страды
Инженер-химик,128,7 лет 2 месяца,"• прием проб и образцов для проведения анализов и испытаний;
• подготовка оборудования к проведению анализов;
• выполнение лабораторных анализов, испытаний, измерений и других видов лабораторных работ в соответствии с требованиями стандартов и технических условий;
• обработка, систематизация и оформление в соответствии с методическими документами результатов анализов, испытаний, измерений, ведение их учета в рабочих журналах."
Рабочий по химической защите растений,128,11 месяцев,"Работа в современном тепличном комплексе, культура - томат. Выявление заболеваний и вредителей растений, учет распространения, обеспечение применения биологического метода защиты, обработка пестицидами."
Агроном,128,11 месяцев,Обеспечение  работ в теплицах. Организация мероприятий по подкормкам и защите декоративных растений в открытом грунте.
Бригадир растениеводства,128,6 месяцев,"Обеспечение производства овощей, культура - картофель (200 га). Цикл производства от посадки до закладки на хранение. Подчиненные: рабочие растениеводства - 15 человек, механизаторы - 6 человек. Дополнительное совмещение должности агронома по защите растений, культуры - картофель, капуста, свекла, морковь. Организация мероприятий по защите растений."
Рабочий по защите растений,128,1 год 7 месяцев,"Работа в современном тепличном комплексе, культура - огурец. Выявление заболеваний и вредителей растений, учет распространения, обеспечение применения биологического метода защиты, обработка пестицидами."
Озеленитель(защита растений),128,1 год 7 месяцев,"Выявление заболеваний и вредителей растений, учет распространения, обработка пестицидами."
"ведущий специалист, репродуктолог",129,4 года 9 месяцев,"Производство и трансплантация эмбрионов крупного рогатого скота. Ведение производственных групп доноров и реципиентов (ветеринарный и зоотехнический контроль, селекционный учет, составление рационов), УЗИ диагностика гинекологических патологий и стельности от 28 дня.  Составление месячных и годовых планов, оформление заявок на закупку оборудования и расходных средств селекционно генетического центра. 
Ветеринарный контроль: транзит 20 дней до отела, родильное отделение (интенсивность отела 200 голов в месяц), группа раздоя до 21 дня в доение (120-160 голов), ведение ветеринарной документации."
Ветеринарный врач,129,1 год 9 месяцев,"Ведение ветеринарной документации. Транзит 2 месяца, 20 дней до отела (коровы, нетели), родильное отделение 250-300 отелов в месяц, лечебный блок."
ветврач,130,6 месяцев,лечение и профилактика болезней животных.Крупный рогатый скот.
Главный ветеринарный врач,130,2 года 1 месяц,"Разработка и внедрение новых методов лечения эндометритов, маститов, коров голштино-фризской породы. Внедрение новых методик ведение новотела. Разработка схем вакцинации. Профилактика и лечение молодняка. Внедрение схем синхронизации коров гормональными препаратами.Работа с мясным скотом абердин-ангусской породы.Молочное стадо 400 гол+молодняк.Мясное 600 гол."
Врач-консультант,130,1 год 1 месяц,Консультирование покупателей по аптеке и лечебным кормам различных фирм и продажа обычных кормов.
Главный врач,130,1 год 2 месяца,"Составление плана противоэпизоотических мероприятий ,контроль за их выполнением, составление отчетности. Проведение лечебно- профилактических мероприятий. Проведение отелов, проведение мероприятия по сохранности молодняка.Общее поголовье 2300 гол."
врач-ортопед,130,11 месяцев,"Лечение и профилактика болезней копыт, мастита, гинекологических заболеваний у животных."
главный ветеринарный врач,130,2 года 11 месяцев,"Лечение,профилактика заболеваний сельско-хозяйственных животных. Составления плана противоэпизоотических мероприятий."
преподаватель ветеринарных дисциплин,130,7 лет 3 месяца,"Составление планов КТП. Проведение практики по искусственному осеменению разных видов животных, различными способами. Учил студентов правильно делать инъекции( в/в, п/к, в/м, в/к), кастрация."
Главный ветеринарный врач,130,4 года 10 месяцев,"Составление плана противоэпизоотических мероприятий ,контроль за их выполнением, составление отчетности. Проведение лечебно- профилактических мероприятий. Проведение отелов, проведение мероприятия по сохранности молодняка.Общее поголовье 1500 гол мясной скот калмыцкой породы.Свиноводство 2500 гол.Птица 8000 гол.Управление ветслужбой хозяйства, в подчинение 4 ветврача."
Технический директор,131,5 лет 2 месяца,"-Монтаж инженерных сетей в загородных домах.
-монтаж вентиляции , электрики , стеллажей, ламп. 
Монтаж и сотрудничество с Эко Фермой. 
Автопалив.
Уход за садовыми наслаждениями.
Уход за приусадебным участком."
Прораб,131,2 года 2 месяца,"Рестоврация сталинских высоток. Культурного наследия. «Котельническая набережная», «МИД», «Красная Площадь», «Мосфильм», «Новоиерусалимсский монастырь» Истра.
-Формовка , отлив новых деталей из гипса.
-контроль над выполнением реставрационных работ.
-Сдача выполненных работ технадзору.
-заполнение КС, объемов."
Срочная служба в армии,131,1 год 1 месяц,"Старший планшетист, Оператор средств автоматизации."
"Агроном химик, бригадир.",131,1 год 4 месяца,"-Робота со всеми хим., препаратами предприятия соблюдение норм расхода , настройка опрыскивателя.
Предпосевной обработки семян.
Обработка зерновых и зернобобовых к-р против вредителей , болезней и сорняков.
-Внесение органических и минеральных удобрений.
-Уборка урожая , сортировка. 
-Управление полеводческой бригадой.
-Контроль качества и объемов работ выполненных механизаторами . 
Ушёл в связи уходом в армию .
"
Лаборант в отделе ягодных культур.,131,4 месяца,"-Прививка деревьев,
-закладка школы сеянцев,
-черенкование кустарниковых культур,
-закладка многолетников ,маточников.
-выращивание ягодных к-р черенками в касетах в защищённом грунте .
-набивка касет различными видами грунта, опыты.
-механизированная уборка ягодных культур.
-выращивание плодовых и декоративных растений в горшках , различных субстратах в теплицах. 
"
Агроном по саду,131,1 год 7 месяцев,"-Закладка молодого сада 50га., формирование кроны,внедрение технологий капельного полива.
-Уход за плодоносящим садом  250га., 
Содержание почвы в чёрном пару по технологии.
Хим.Обработка от вредителей, болезней и предупредительные меры борьбы.
-Уход за кустарниками ягодных культур:земляника садовая 8га., смородина чёрная 40га.
-Управление полеводческими бригадами и биржей труда до 120чел.
-Уборка урожая , транспортировка в хранилища и реализацию.
-Ушёл в связи с поступлением в Академию продолжение учебы по специальности очном отделение."
Студент специалист ,131,1 год 4 месяца,"Производственная практика на территории колледжа .
-Выращивание школы сеянцев, прививка , обработка от вредителей.
-Уход за плодоносящим садом , обрезка, сбор урожая .
-Выращивание овощных и зеленных к-р., в открытом и защищённом грунте.
-Эксперименты с различными грунтами ."
тракторист-механик,132,9 лет 1 месяц,уборка територии и ремонт коммунальной техники.
эксковаторшик,132,2 года 7 месяцев,уборка погрузка грунта.и снега.
Тракторист-машинист,132,10 лет 8 месяцев,работа с новесным оборудованием.
машинист копра,133,21 год,"Управление машинами различных типов, применяемыми для забивки и погружения свай при устройстве свайных оснований, шпунтовых ограждений, причальных ограждений, подпорных стенок и других аналогичных конструкций.Техническое обслуживание машин, проверка исправности систем и узлов.Выявление и устранение неисправностей в работе машин."
Тракторист-машинист,133,5 лет,"Осуществление управления тракторами в агрегате с прицепными и навесными орудиями, самоходными и другими сельскохозяйственными машинами в соответствии с требованиями и правилами производства при проведении работ в растениеводстве, животноводстве, кормопроизводстве."
Машинист фронтального погрузчика,134,8 месяцев,"Погрузка кормов,уборка-планировка территории,погрузка сена-соломы,укладка сена-соломы."
ведущий инженер,135,15 лет,"Экспериментальное и экспедиционные полевые работы по биоразнообразию лесов и сельхозяйственных земель на территориях стационара ИПРЭК СО РАН, Ивано-Арахлейского заказника, Цасучейского бора, национальных парков ""Алханай"" и ""Чикой"", руководил группой из 3-х человек в лесоустроительной экспедиции по проекту «Сохранить кедровые леса р. Хилок». Вел на сайте института inrec.sbras.ru новостные страницу по лаборатории растительных ресурсов; заполнял базу данных сотрудников лаборатории в электронной библиотеке elibrary.ru"
Инженер по водоснабжению и канализации,136,9 лет 3 месяца,Обеспечение безаварийной работы оборудования на производственных площадках. Своевременное проведение планового технического обслуживания и внеплановых ремонтов. Монтаж оборудования .
машинист насосных установок 4-го разряда,136,3 года 11 месяцев,"Обеспечение безаварийной работы, правильной эксплуатации и технического обслуживания насосных станций.

Организация работы по поддержанию оборудования в исправном состоянии и проведение ремонтных работ."
механик,136,1 год 5 месяцев,"Обеспечение надежной работы, правильной эксплуатации и обслуживания автопарка предприятия.

Планирование, распределение маршрутов и их согласование с транспортной инспекцией, выпуск автотранспортных средств на маршрут. 

Осуществление контроля наличия запасов топлива, смазочных  масел, воды, снабжение для нужд службы.

Проведение технической учебы с водителями автопарка. 

Контроль качества ремонта технических средств. 

Ведение технической документации."
ведущий вет врач вет-сан эксперт,137,8 лет 5 месяцев,ветеринарный надзор за подконтрольными обьектами
Главный ветеринарный врач,137,7 лет 11 месяцев,организация ветнринарно -. санитарных и противоэпизоотических мероприятий
ГЛ вет врач,137,4 года 9 месяцев,"КРС.Лошади,Свиньи"
Продавец-кассир хлебной зоны,138,3 года 6 месяцев,"Выпечка и продажа замороженной продукции ,кофе"
Начальник пекарного производства.,138,10 лет 3 месяца,"Организация работы пекарни,обучение персонала,Контроль приготовления по тех.картам,ведение графиков,отчетов,инвентаризаций,контроль соблюдения всех норм на производстве,планирование,повышение ТО,

контроль качества выпускаемой продукции,соблюдение санитарно-гигиенических нормативов в пр-ве и на оборудовании,ведение произв.журналов."
